,Problem,Answer,Grade
976,"There were 8000 jelly beans in a certain barrel, and 10 people lined up to take some. The first six people each took twice as many jelly beans as each of the last four people took. If the last four people each took 400 jelly beans, how many jelly beans remained in the container?","If the last four people each took 400 jelly beans, they took a total of 4*400 = <<4*400=1600>>1600 jelly beans.The first six people each took twice as many jelly beans as each of the last four people took, meaning each of them took 2*400 = <<2*400=800>>800 jelly beans.The total number of jelly beans the first six people took is 800*6 = <<800*6=4800>>4800 jelly beans.Together, all 10 people took together 4800+1600 = <<4800+1600=6400>>6400 jelly beans.If there were 8000 jelly beans in a certain barrel, the number of jelly beans that remained is 8000-6400= <<8000-6400=1600>>1600#### 1600", 6
977,"Some friends wanted to make a road trip from New York to Los Angeles. They drove at a constant speed of 62 miles/hour, taking breaks of 30 minutes every 5 hours. Once in the city, they looked for the hotel for 30 minutes. If the trip took around 2,790 miles, how many hours will they have to spend to complete the trip to the hotel?","At a constant speed of 62 miles/hour, they will drive 2,790 miles / 62 miles/hour = <<2790/62=45>>45 hours in total.Every 5 hours they take a break, they will take 45 hours / 5 hours/break = <<45/5=9>>9 breaks.Those breaks will be 9 breaks x 30 minutes/break = <<9*30=270>>270 minutes in total.In hours, the breaks will be in total 270 minutes ÷ 60 minutes/hour = <<270/60=4.5>>4.5 hoursTo find the hotel it took them 30 minutes ÷ 60 minutes/hour = <<30/60=0.5>>0.5 hoursIn total, it will take 45 hours + 4.5 hours + 0.5 hours = <<45+4.5+0.5=50>>50 hours to complete the trip.#### 50", 6
978,"Amy bakes muffins for her friends. On Monday, she brings 1 muffin to school to share. Each day for the rest of the week she brings one more muffin to school than she did the day before. If on Saturday she counts that there are 7 muffins left, how many did she originally bake?","On Tuesday, she brings in 1 + 1 = <<1+1=2>>2 muffins.On Wednesday, she brings in 2 + 1 = <<2+1=3>>3 muffins.On Thursday, she brings in 3 + 1 = <<3+1=4>>4 muffins.On Friday, she brings in 4 + 1 = <<4+1=5>>5 muffins.In total, she brought 1 + 2 + 3 +4 + 5 = <<1+2+3+4+5=15>>15 muffins to school to share with her friends.She baked a total of 15 + 7 = <<15+7=22>>22 muffins.#### 22", 6
979,"Mitch is a freelancer, she works 5 hours every day from Monday to Friday and 3 hours every Saturday and Sunday. If she earns $3 per hour and earns double on weekends, how much does she earn every week?","Mitch earns 5 x $3 = $<<5*3=15>>15 every weekday.So, she earns $15 x 5 = $<<15*5=75>>75 from Monday to Friday.And she earns $3 x 2 = $<<3*2=6>>6 per hour every weekend.Hence, the total amount she earns every weekend is $6 x 3= $<<6*3=18>>18.So, she earns $18 x 2 = $<<18*2=36>>36 every Saturday and Sunday.Therefore, the total amount she earns every week is $75 + $36= $<<75+36=111>>111.#### 111", 6
980,"Amaya scored 20 marks fewer in Maths than she scored in Arts. She also got 10 marks more in Social Studies than she got in Music. If she scored 70 in Music and scored 1/10 less in Maths, what's the total number of marks she scored in all the subjects?","The total marks Amaya scored more in Music than in Maths is 1/10 * 70 = <<1/10*70=7>>7 marks.So the total marks she scored in Maths is 70 - 7 = <<70-7=63>>63 marks.If she scored 20 marks fewer in Maths than in Arts, then he scored 63 + 20 = <<63+20=83>>83 in Arts.If she scored 10 marks more in Social Studies than in Music, then she scored 70 + 10 = <<10+70=80>>80 marks in Social Studies.The total number of marks for all the subjects is 70 + 63 + 83 + 80 = <<70+63+83+80=296>>296 marks.#### 296", 6
981,"Jude is trading his bottle cap collection to Arthur for some of Arthur's matchbox vehicles. Arthur charges Jude 5 bottle caps for a car and 6 bottle caps for a truck. Jude has 100 bottle caps. If he buys 10 trucks and spends 75% of his remaining bottle caps on cars, how many total matchbox vehicles does he buy?",The trucks cost 60 bottle caps because 10 x 6 = <<10*6=60>>60He has 40 bottle caps left because 100 - 60 = <<100-60=40>>40He spends 30 bottle caps on cars because 40 x .75 = <<40*.75=30>>30He gets 6 cars with this because 30 / 5 = <<30/5=6>>6He gets 16 vehicles in total because 10 + 6 = <<10+6=16>>16#### 16, 6
982,"Elsa's hockey team just made the playoffs along with two other teams. They make the playoffs by having the top three highest points for their records. Teams get 2 points for a win, 1 point for a tie, and zero points for a loss. The first-place team has 12 wins and 4 ties. The second-place team has 13 wins and 1 tie. Elsa's team has 8 wins and 10 ties. What is the average number of points for the playoff teams?",The teams have 33 total wins because 12 + 13 + 8 = <<12+13+8=33>>33The teams have 66 points from wins because 33 x 2 = <<33*2=66>>66The teams have 15 total ties because 4 + 1 + 10 = <<4+1+10=15>>15The teams have 15 points from ties because 15 x 1 = <<15*1=15>>15The teams have 81 total points because 66 + 15 = <<66+15=81>>81The average number of points per team is 27 because 81 / 3 = <<81/3=27>>27#### 27, 6
983,"A father is building a playset for his son and needs to purchase lumber, nails, and fabric.  When he started planning the project, the necessary lumber cost $450, the nails cost $30, and the fabric cost $80.  However, recent economic inflation has caused the price of lumber to increase by 20%, the price of nails to increase by 10%, and the price of fabric to increase by 5%.  In dollars, how much more money will it cost to complete the project now (after inflation) than it would have when the father began planning?","First, the initial, pre-inflation, cost of the project was 450 + 30 + 80 = $<<450+30+80=560>>560.Then, the price of the lumber increased to 450*1.20 = $<<450*1.20=540>>540.Similarly, the price of the nails increased to 30*1.10 = $<<30*1.10=33>>33.And the price of the fabric increased to 80*1.05 = $<<80*1.05=84>>84.Therefore, the new, post-inflation, cost of the project is 540 + 33 + 84 = $<<540+33+84=657>>657.Thus, the cost has increased by 657 - 560 = $<<657-560=97>>97.#### 97", 6
984,"Mary just arrived at the beach. She has 4 times as many towels as Frances does. The total weight of their towels is 60 pounds. If Mary has 24 towels, how much do Frances's towels weigh in ounces?",Frances has 24/4 = <<24/4=6>>6 towels.They have 24+6=<<24+6=30>>30 towels.Each towel weighs 60/30=<<60/30=2>>2 pounds.Frances’s towels weigh a total of 2*4 = <<2*4=8>>8 poundsFrances’s towels weigh a total of 8*16 = <<8*16=128>>128 ounces#### 128, 6
985,"Johnny spent 3 hours working on a job that paid $7 per hour, 2 hours working on a job that paid $10 an hour, and 4 hours working on a job that paid $12 an hour.  Assuming he repeats this process 5 days in a row, how much does Johnny make?","First, we need to determine how much Johnny makes in one day. To start, we perform 3*7=<<3*7=21>>21 dollars for the first job.Second, we perform 2*10=<<20=20>>20 dollars for the second job.Third, we perform 4*12= <<4*12=48>>48 dollars for the third job.Altogether, Johnny makes 21+20+48= <<21+20+48=89>>89 dollars in a day.We multiply this amount by the 5 days, performing 5*89= <<445=445>>445 dollars over 5 days#### 445", 6
986,"John plays a game for 4 hours a day every day for 2 weeks.  After all that time, he is only 40% done.  He increased his playtime to 7 hours a day.  How long until he finishes the game?",There are 7*2=<<7*2=14>>14 days in two weeksSo he played 14*4=<<14*4=56>>56 hoursThat means the total length of the game is 56/.4=<<56/.4=140>>140 hoursSo he has 140-56=<<140-56=84>>84 hours to beat the gameSo it will take him 84/7=<<84/7=12>>12 days to beat the game#### 12, 6
987,Sue borrowed 15 books and 6 movies. She returned 8 books. She then returned a third of the movies to the library and checked out 9 more books. How many movies and books does Sue now have?,Sue has 15-8 = <<15-8=7>>7 books left after returning at the library.Sue returned 6/3 = <<6/3=2>>2 movies to the library.Sue had 6-2 = <<6-2=4>>4 movies left.Sue had 7+9 = <<7+9=16>>16 books after checking out at the library.Sue has 16+4 = <<16+4=20>>20 movies and books combined.#### 20, 6
988,"To make room for a new inventory of books, Gordon's local bookstore is offering 30% off any book that is over $22.00 and 20% off any book under $20.00.  He buys several books with the following prices; $25.00, $18.00, $21.00, $35.00, $12.00 and $10.00.  How much will he spend on books?","He gets 30% off any book over $22 and he buys books that cost $25.00 and $35.00 so the total cost of these books is $25 + $35 = $<<25+35=60.00>>60.00At 30% off, the discount on these books is $60*.30 = $<<60*.30=18.00>>18.00That mean these 2 books will cost $60-$18 = $<<60-18=42.00>>42.00He gets 20% off any book under $20 and he buys books for $18.00, $12.00 and $10.00 so these books together cost $18 + $12 + $10 = $40.00at 20% off, the discount on these books is 40*.20 = $8.00So these 3 books will cost $40 - $8 = $<<40-8=32.00>>32.00He has spent $42.00 on the two most expensive books, $32.00 on the 3 cheapest books, and also bought a book for $21.00, so his total comes to $42 + $32 + $21 = $<<42+32+21=95.00>>95.00#### 95", 6
989,"In a class of 30 students, the teacher polls the students on their favorite subject. 1/5 of the students like Math, and 1/3 like English. 1/7 of the remaining students like Science. The rest don’t have a favorite subject. How many students don’t have a favorite subject?","30 x 1/5 = <<30*1/5=6>>6 students like Math.30 x 1/3 = <<30*1/3=10>>10 students like English.So, 6 + 10 = <<6+10=16>>16 students like either Math or English.Thus, 30 - 16 = <<30-16=14>>14 students neither like Math nor English.Since 1/7 of the remaining like Science, therefore 14 x 1/7 = <<14*1/7=2>>2 students like Science.Hence, 14 - 2 = <<14-2=12>>12 students neither likes the 3 subjects.#### 12", 6
990,"In the last student council election, the winner got 55% of the votes and the loser got the rest. If the school has 2000 students, but only 25% of them voted, how many more votes did the winner get than the loser?",500 students voted because 2000 x .25 = <<2000*.25=500>>500The loser got 45% of the votes because 100 - 55 = <<100-55=45>>45The winner got 275 votes because 500 x .55 = <<500*.55=275>>275The loser got 225 votes because 500 x .45 = <<500*.45=225>>225The winner got 50 more votes because 275 - 225 = <<275-225=50>>50#### 50, 6
991,"Phantom's mom gave him $50 to buy printer-inks. At the store, he bought two black printer inks which cost $11 each, three red printer inks which cost $15 each, and two yellow printer inks which cost $13 each. Phantom found out that his money is not enough to buy all the printer inks. How much more money should he ask his mom to be able to buy the printer inks?","Black printer inks will cost him 2 x $11 = $<<2*11=22>>22.Red printer inks will cost him 3 x $15 = $<<3*15=45>>45.And yellow printer inks will cost him 2 x $13 = $<<2*13=26>>26.The total amount he has to pay for the printer inks is $22 + $45 + $26 = $<<22+45+26=93>>93Therefore, Phantom has to ask $93 - $50 = $<<93-50=43>>43 more from his mom to be able to buy the printer inks.#### 43", 6
992,Dustin and Sam are both reading. Dustin can read 75 pages in an hour. Sam can read 24 pages in an hour. How many more pages does Dustin read in 40 minutes compared to Sam?,Dustin reads 1.25 pages a minute because 75 / 60 = <<75/60=1.25>>1.25Dustin reads 50 pages in 40 minutes because 40 x 1.25 = <<40*1.25=50>>50Sam reads .4 pages a minute because 24 / 60 = <<24/60=.4>>.4Sam reads 16 pages in 40 minutes because 40 x .4 = <<40*.4=16>>16Dustin reads 34 more pages than Sam because 50 - 16 = <<34=34>>34#### 34, 6
993,"Mr. Willson worked on making his furniture for 3/4 an hour on Monday. On Tuesday, he worked for half an hour. Then he worked for 2/3 an hour on Wednesday and 5/6 of an hour on Thursday. If he worked for 75 minutes on Friday, how many hours in all did he work from Monday to Friday?","Since there are 60 minutes in an hour, then Mr. Willson worked for 60 minutes x 3/4 = <<60*3/4=45>>45 minutes on Monday.He worked for 60 minutes/2 = <<60/2=30>>30 minutes on Tuesday.He worked for 60 minutes x 2/3 = <<60*2/3=40>>40 minutes on Wednesday.He worked for 60 minutes x 5/6 = <<60*5/6=50>>50 minutes on Thursday.So Mr. Willson worked for 45 + 30 + 40 + 50 + 75 = <<240=240>>240 minutes.In hours, it is equal to 240/60 = <<240/60=4>>4 hours.#### 4", 6
994,The rate for mowing a lawn is $14 per hour. David mowed for 2 hours a day for a week. He then spent half of the money he made from mowing a lawn on a pair of shoes and gave half of the remaining money to his mom. How much money did he have left?,"David got $14/hour x 2 hours/day = $<<14*2=28>>28 per day from mowing.So in a week, he had $28/day x 7 days = $196.A pair of shoes cost $196/2 = $<<196/2=98>>98.David gave his mom $98/2 = $<<98/2=49>>49.The total amount he spent and gave is $98 + $49 = $<<98+49=147>>147.David is left with $196 - $147 = $<<196-147=49>>49.#### 49", 6
995,"Leonard and his brother Michael bought presents for their father. Leonard bought a wallet at $50 and two pairs of sneakers at $100 each pair, while Michael bought a backpack at $100 and two pairs of jeans at $50 each pair. How much did they spend in all?","Two pairs of sneakers cost 2 x $100 = $<<2*100=200>>200.So, Leonard spent $50 + $200 = $<<50+200=250>>250.Two pairs of jeans cost 2 x $50 = $<<2*50=100>>100.Thus, Michael spent $100 + $100 = $<<100+100=200>>200.Therefore, they spent a total of $250 + $200 = $<<250+200=450>>450 in all.#### 450", 6
996,"Miss Smith is teaching second period English and is shocked at how small the class seems. There are 6 tables in the classroom with 3 students currently sitting at each table. Sally said 3 girls went to the bathroom, and three times more students went to the canteen. Elliott said that 2 groups of students have recently been added to their class, and each group has 4 students in it. None of these students are in the class right now. Lucas pointed out that a few foreign exchange students have joined the class; 3 from Germany, 3 from France, and 3 from Norway. These students are also missing. How many students are supposed to be in the class?","There are currently 3 * 6 = <<3*6=18>>18 students sitting in the classroom.There were 3 * 3 = <<3*3=9>>9 students who went to the canteen.Sally has therefore noticed 3 + 9 = <<3+9=12>>12 students missing from the class.Elliott said that 2 groups of students have joined the class, so there are another 2 * 4 = <<2*4=8>>8 students who are not in the classroom.Lucas said that there are 3 + 3 + 3 = <<3+3+3=9>>9 foreign exchange students who are not in the classroom.Therefore, there should be 18 + 12 + 8 + 9 = <<18+12+8+9=47>>47 students.#### 47", 6
997,"For homework, Brooke has 15 math problems, 6 social studies problems, and 10 science problems. He can answer each math problem for 2 minutes while answering each social studies problem takes him 30 seconds. If he can answer each science problem in 1.5 minutes, how long will it take Brooke to answer all his homework?","Brooke will take 15 x 2 = <<15*2=30>>30 minutes to answer all math problems.It will take him 6 x 30 seconds = <<6*30=180>>180 seconds to answer all social studies problems.In minutes, this is equal to 180/60 = <<180/60=3>>3 minutes.It will take him 10 x 1.5 minutes = <<10*1.5=15>>15 minutes to answer all science problems.Therefore, Brooke will take 30 + 3 + 15 = <<30+3+15=48>>48 minutes to finish his homework.#### 48", 6
998,Kelly puts string cheeses in her kids lunches 5 days per week.  Her oldest wants 2 every day and her youngest will only eat 1.  The packages come with 30 string cheeses per pack.  How many packages of string cheese will Kelly need to fill her kids lunches for 4 weeks?,"Her oldest wants 2 strings cheeses a day for 5 days so 2*5 = <<2*5=10>>10 string cheesesHer youngest wants 1 string cheese a day for 5 days so 1*5 = <<1*5=5>>5 string cheesesTogether they want 10+5= <<10+5=15>>15 string cheeses a weekOver 4 weeks, her kids will eat 15 string cheeses so 4*15 = <<15*4=60>>60 string cheesesThe bags have 30 per pack and she needs 60 so 60/30 = <<60/30=2>>2 packs of string cheese#### 2", 6
999,"Enrique earns a 15% commission on every piece of clothing item he sells.  In one day he sells 2 $700.00 suits, 6 shirts that cost $50.00 each and 2 pairs of loafers that are $150.00 each.  How much commission does Enrique earn?","He sells 2 suits that are $700.00 each for a total of 2*700 = $<<2*700=1400.00>>1,400.00He sells 6 shirts that are $50.00 each for a total of 6*50 = $<<6*50=300.00>>300.00He sells 2 pairs of loafers that are $150.00 each for a total of 2*150 = $<<2*150=300.00>>300.00All total he sells 1400+300+300 = $<<1400+300+300=2000.00>>2,000.00 worth of clothingHe gets a 15% commission off of the the $2,000.00 so he earns .15*2000 = $<<.15*2000=300.00>>300.00#### 300", 6
1000,"Five years ago, the sum of Sebastian's age and his sister's age was 3/4 of their father's age. How old is their father today if Sebastian is 40 years old and 10 years older than his sister?","If Sebastian is 40 years old and 10 years older than his sister, his sister is 40-10=<<40-10=30>>30 years old.Five years ago, Sebastian was 40-5=<<40-5=35>>35 years old.Similarly, Sebastian's sister's age was 30-5=<<30-5=25>>25 years old.The sum of their ages five years ago was 25+35=<<25+35=60>>60Five years ago, the sum of Sebastian's age and his sister's age was 3/4 of their father's age, meaning their father's age was 60 / 3/4 = 80 years.The father's age is now 80+5=<<80+5=85>>85#### 85", 6
1001,"Kim loves to knit sweaters and can knit as many as 10 sweaters in a day if she gets the time. On a particular week, she knit 8 sweaters on Monday, 2 more sweaters on Tuesday than on Monday, 4 fewer sweaters on both Wednesday and Thursday than on Tuesday, and half the number of sweaters she had knit on Monday on Friday. Calculate the total number of sweaters she knit that week.","If she knit 8 sweaters on Monday and 2 more on Tuesday, she knit 8+2 = <<8+2=10>>10 sweaters on Tuesday.The total number of sweaters she had knit on Monday and Tuesday is 10+8 = <<10+8=18>>18On Wednesday, she knit four fewer sweaters than the number she knit on Tuesday, which totals 10-4 = <<10-4=6>>6 sweaters.By Wednesday, she had knit 18+6 = <<18+6=24>>24 sweaters.On Thursday, she knit the same number of sweaters she had knit on Thursday, giving a total of 24+6 = <<24+6=30>>30 sweaters.On Friday, she knit half the number of sweaters she had knit on Monday, which totals 1/2*8 = <<8*1/2=4>>4 sweaters on Friday.So far, she has knit 30+4 = <<30+4=34>>34 sweaters by Friday.#### 34", 6
1002,Tim decides to do a movie marathon.  The first movie is 2 hours long.  The next movie is 50% longer.  And the last movie is 1 hour shorter than the combined time of the previous 2 movies.  How long was his movie marathon?,The second movie was 2*.5=<<2*.5=1>>1` hour longer than the first movieSo the second movie was 2+1=<<2+1=3>>3 hours longThat means the first two movies had a combined time of 3+2=<<3+2=5>>5 hoursSo the last movie had a length of 5-1=<<5-1=4>>4 hoursThat means the marathon lasted 5+4=<<5+4=9>>9 hours#### 9, 6
1003,"A large gathering occurred at the town hall with 200 people participating. 100 people decided to have a snack, and then 20 new outsiders joined in to have a snack. Half of these snack eaters got full and left. 10 new outsiders came to have snacks, too. 30 more snack eaters got their fill and left. Then half of the remaining snack eaters left later on. How many snack eaters are left?","At the meeting, 200-100=<<200-100=100>>100 people decided to have a snack.20 new people came in to snack and the area had 100+20=<<100+20=120>>120 of them eating.120/2=<<120/2=60>>60 people got full and left.10 more new people came to join in the snacking so 60+10=<<10+60=70>>70 people were eating.After 30 people left, 70-30=<<70-30=40>>40 people who were eating remained.In the end, only 40/2=<<40/2=20>>20 kept eating.#### 20", 6
1004,"Max has a collection of stamps in three colors: 20 red stamps, 80 blue stamps and 7 yellow ones. He is trying to sell the whole collection. He already sold 20 red stamps for the price of $1.1 for each stamp and 80 blue stamps for the price of $0.8 for each stamp. What price did he need to set for each yellow stamp to be able to earn the total of $100 from the whole sale?","Max earned 20 * 1.1 = $<<20*1.1=22>>22 on red stamps.From the blue stamps Max got 80 * 0.8 = $<<80*0.8=64>>64.His earnings so far are 22 + 64 = $<<22+64=86>>86.To earn $100 he needs 100 – 86 = $<<100-86=14>>14 more.Max has 7 yellow stamps, so he needs to set the price at 14 / 7 = $<<14/7=2>>2.#### 2", 6
1005,"Abigail collected 2 boxes of cookies for the bake sale. Grayson collected 3 quarters of a box, and Olivia collected 3 boxes. Assuming that each box contains 48 cookies, how many cookies did they collect in total?",Abigail collected 2*48 = <<2*48=96>>96 cookies.There are 48/4 = <<48/4=12>>12 cookies in a quarter of a box.Grayson collected 12*3 = <<12*3=36>>36 cookies.Olivia collected 48*3 = <<48*3=144>>144 cookies.In total they collected 96+36+144 = <<96+36+144=276>>276 cookies.#### 276, 6
1006,"The ratio of the amount of money Cara, Janet, and Jerry have is 4:5:6. If the total amount of money they have is $75, calculate the loss Cara and Janet will make if they combine their money to buy oranges and sell them at 80% of the buying price.","The sum of the ratios representing the amount of money the three has is 4+5+6=<<4+5+6=15>>15If the total amount of money they have is $75, the amount of money Cara has represented by the fraction 4/15 is 4/15*$75=$<<4/15*75=20>>20Similarly, the amount of money Janet has represented by the fraction 5/15 of the total ratio is 5/15*$75=$<<5/15*75=25>>25Combined, Cara and Janet have $20+25=$<<20+25=45>>45If Cara and Janet buy goods worth $45 and sells them at 80% of the buying price, the selling price of the goods will be 80/100*$45=$<<45*80/100=36>>36Since they bought the goods at $45 and sold them at $36, Janet and Cara would run at a loss of $45-$36=$<<45-36=9>>9#### 9", 6
1007,"Chip has a $50.00 balance on his credit card.  Since he didn't pay it off, he will be charged a 20% interest fee.  He puts $20.00 on his credit card the following month and doesn't make any payments to his debt.  He is hit with another 20% interest fee.  What's the current balance on his credit card?",He has a balance of $50.00 and is charged 20% interest so that's 50*.20 = $<<50*.20=10.00>>10.00He had a balance of $50.00 and now has a $10.00 interest fee making his balance 50+10 = $<<50+10=60.00>>60.00His balance is $60.00 and he puts another $20.00 on his card for a total of 60+20 = $<<60+20=80.00>>80.00He didn't make a payment that month and is hit with another 20% interest fee so that's 80*.20 = $<<80*.20=16.00>>16.00 in interestHis new balance is 80+16 = $<<80+16=96.00>>96.00#### 96, 6
1008,"The number of students in Kylie's class is 50. In a particular test, ten students scored 90 marks, 15 scored ten marks fewer than the first ten students, and the rest scored 60 marks each. What are the average marks for the whole class?","The total marks for the first ten students are 90 * 10 = <<90*10=900>>900 marksThe 15 students who scored ten marks fewer than the first ten had 90 - 10 = 80 marks each.The total marks for the following 15 students are 15 * 80 = <<15*80=1200>>1200 marks.The total number of students who scored above sixty is 10 + 15 = <<10+15=25>>25.If 50 students were present in the class, those who scored sixty are 50 - 25 = <<50-25=25>>25.If 25 students scored 60, then their total marks are 60 * 25 = <<60*25=1500>>1500 marks.The whole class scored a total of 1500 + 1200 + 900 = <<1500+1200+900=3600>>3600 marks.The average for the class is 3600 / 50 = <<3600/50=72>>72 marks.#### 72", 6
1009,Keesha wants to get her hair and nails done for prom.  Hair updos cost $50 and manicures cost $30.  How much will these two services cost her with a 20% tip for each beautician?,Tip for the hair stylist will be $50 x 20% = $<<50*20*.01=10>>10.Tip for the manicurist will be $30 x 20% = $<<30*20*.01=6>>6.Total tips will be $10 + $6 = $<<10+6=16>>16.Total for hair and nails is $50 + $30 = $<<50+30=80>>80.Total for the two services plus tip is $80 + $16 = $<<80+16=96>>96.#### 96, 6
1010,"Alex is on a cross-country bike trip. After starting this morning, he manages an average speed over flat ground of about 20 miles per hour. Four and a half hours later, the road started to incline upwards enough that he could only manage 12 miles per hour. Two and a half hours later, though, the road declined downhill and was able to mostly coast at 24 miles per hour. Unfortunately, he only got to enjoy this for one and a half hours before he punctured a tire. He had forgotten to pack a repair kit, so he had to walk his bike the rest of the way to the next town. If the next town was 164 miles from where he started this morning, how far did Alex have to walk?","Alex traveled at 20 miles per hour for 4.5 hours, so 20 * 4.5 = <<20*4.5=90>>90 miles on flat ground.He traveled 12 miles per hour uphill for 2.5 hours, so 12 * 2.5 = <<12*2.5=30>>30 miles uphill.He traveled downhill 24 miles per hour for 1.5 hours = 24 * 1.5 = <<24*1.5=36>>36 miles downhill.Before his tire punctured, he traveled 90 + 30 + 36 = <<90+30+36=156>>156 miles.So as the next town is 164 miles from where he began, Alex had to walk for 164 - 156 = <<164-156=8>>8 miles.#### 8", 6
1011,"Billy and George are picking dandelions. At first, Billy picks 36 and then George picks 1/3 as many as Billy. When they see the pile, they each decide to pick 10 more each. How many have they picked on average?",George picked at first 12 because 36 / 3 = <<36/3=12>>12.George picks 22 by the end because 12 + 10 = <<12+10=22>>22Billy picks 66 by the end because 36 + 10 = <<36+10=46>>46In total they picked 68 because 22 + 46 = <<22+46=68>>68On average they picked 34 because 68 / 2 = <<68/2=34>>34#### 34, 6
1012,"Lily got a new puppy for her birthday.  She was responsible for feeding the puppy 1/4 cup of food three times a day for two weeks starting tomorrow.  For the following 2 weeks, Lily will feed him 1/2 cup of food twice a day.  She has fed him 1/2 cup of food today.  Including today, how much food will the puppy eat over the next 4 weeks?",1 week has 7 days so 2 weeks will have 2*7 = <<7*2=14>>14 daysThe puppy will eat 1/4c three times a day so .25*3= <<.25*3=.75>>.75 cups per dayThe puppy will eat .75 cups of food a day for 14 days for a total of .75*14 =<<.75*14=10.5>>10.5 cupsThe puppy will then eat `.5 cup of food twice a day so .5*2 = <<.5*2=1>>1 cup per dayThe puppy will eat 1 cup of food a day for 14 days for a total of 1*14 = <<1*14=14>>14 cups per dayShe has already fed him .5 cup of food and he will eat 10.5 cups and another 14 cups for a total of .5+10.5+14 = <<.5+10.5+14=25>>25 cups of food#### 25, 6
1013,Haylee has 3 dozen guppies in her aquarium.  Jose has half as many guppies as Haylee in his tank.  Charliz has one-third of what Jose has in his tank.  Nicolai has 4 times as many guppies as Charliz in his pond. How many guppies do the four friends have altogether?,"Haylee has 3 x 12 = <<3*12=36>>36 guppies.Jose has 36 / 2 = <<36/2=18>>18 guppies.Charliz has 18 / 3 = <<18/3=6>>6 guppies.Nicolai has 6 x 4 = <<6*4=24>>24 guppies.Altogether, the four friends have 36 + 18 + 6 + 24 = <<36+18+6+24=84>>84 guppies.#### 84", 6
1014,"Some friends went hiking for 3.5 hours. They traveled 21 kilometers in that time. Birgit was 4 minutes/km faster than the average time. If Birgit kept the same pace, how many minutes would it take her to go 8 kilometers?",Minutes spent hiking = 3.5*60 = <<3.5*60=210>>210 minutesAverage speed = 210 minutes/ 21 km = <<210/21=10>>10 minutes/kmBirgit is 4 minutes/km faster = 10 - 4 = 6 min/kmIt would take 6*8 = <<6*8=48>>48 minutes to go 8 kmBirgit would take 48 minutes to travel 8 kilometers.#### 48, 6
1015,"Ziggy is a club DJ. Typically, Ziggy gets 30 song requests every night. Half the songs requested are electropop. A third of that amount are requests for dance music. Five song requests are rock music, and song requests for oldies are three less in number than rock requests. Ziggy plays a DJ’s choice song half the number of times he plays an oldie. Ziggy also sometimes gets rap song requests. Typically, how many rap songs does Ziggy get requested every night?","Ziggy gets 30 / 2 = <<30/2=15>>15 electropop song requests every night.There are 15 / 3 = <<15/3=5>>5 dance song requests every night.There are 5 - 3 = <<5-3=2>>2 oldies requests every night.Ziggy plays DJ’s choice 2 / 2 = <<2/2=1>>1 time every night.Thus, Ziggy gets 30 - 15 - 5 - 5 - 2 - 1 = <<30-15-5-5-2-1=2>>2 rap songs requested every night.#### 2", 6
1016,"Daryl is loading crates at a warehouse and wants to make sure that they are not overloaded. Each crate can weigh up to 20kg and he has 15 crates he can fill. He has 4 bags of nails to load, each of which weighs 5kg; he has 12 bags of hammers, each of which weighs 5 kg; he also has 10 bags of wooden planks, each of which weighs 30kg and can be sub-divided. He realizes that he has too much to load and will have to leave some items out of the crates to meet the weight limit. In kg, how much is Daryl going to have to leave out of the crates?","Daryl can load up to 15 crates * 20kg per crate = <<15*20=300>>300kg.The nails weigh a total of 4 bags of nails * 5kg per bag of nails = <<4*5=20>>20kg.The hammers weigh a total of 12 bags of hammers * 5kg per bag of hammers = <<12*5=60>>60kg.The wooden planks weigh a total of 10 bags of wooden planks * 30kg per bag of wooden planks= <<10*30=300>>300kg.So in total, Daryl’s items weigh a total of 20kg nails + 60kg hammers + 300kg wooden planks = <<20+60+300=380>>380kg.He will therefore need to leave out 380kg in items – 300kg weight limit = <<380-300=80>>80kg.#### 80", 6
1017,"Casey is pumping water out of her well. She can pump 3 gallons a minute. She has 4 rows of 15 corn plants each, and each plant needs half a gallon of water. She also has 10 pigs, which each need 4 gallons of water, and 20 ducks that each need a quarter of a gallon of water. How many minutes does Casey need to spend pumping water?",First find how many corn plants there are: 15 plants/row * 4 rows = <<15*4=60>>60 plantsThen find how many gallons of water of the corn needs: 60 plants * 1/2 gallon/plant = <<60*1/2=30>>30 gallonsThen find how many gallons of water the pigs need: 10 pigs * 4 gallons/pig = <<10*4=40>>40 gallonsThen find how many gallons of water the ducks need: 20 ducks * 1/4 gallon/duck = <<20*1/4=5>>5 gallonsNow add up all three quantities of water to find the total water needed: 5 gallons + 40 gallons + 30 gallons = <<5+40+30=75>>75 gallonsNow divide the total water needed by Casey's pumping rate to find how long she spends pumping: 75 gallons / 3 gallons/minute = <<75/3=25>>25 minutes#### 25, 6
